"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41281-00104,화정 18(꽃우물어린이),어린이공원,경기도 고양시 덕양구 중앙로 646,경기도 고양시 덕양구 화정동 949,37.6286571803,126.8272143596,3960,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00024,킨텍스2단계(킨텍스온누리),근린공원,경기도 고양시 일산서구 대화동 2721,경기도 고양시 일산서구 대화동 2721,37.6650383876,126.7467749165,17287,,,,,,2007-07-13,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00025,킨텍스수변공원(국제전시2단계),수변공원,경기도 고양시 일산서구 대화동 2725,경기도 고양시 일산서구 대화동 2725,37.66204561,126.7394241396,12483,,,,,,2007-07-13,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00060,탄현,근린공원,경기도 고양시 일산서구 탄현동 산16,경기도 고양시 일산서구 탄현동 산16,37.69984424,126.7753746,411421,족구장+배드민턴장+체력단련시설,,,,,1974-05-16,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00078,풍동(풍식사2),문화공원,경기도 고양시 일산동구 풍동 184,경기도 고양시 일산동구 풍동 184,37.6645063872,126.8035678,4165,야외배드민턴장,,,,,2002-02-18,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00062,하늘(일산2-3),근린공원,경기도 고양시 일산동구 중산동 1795,경기도 고양시 일산동구 중산동 1795,37.67762762,126.7855199,9895,농구장+야외배드민턴장+다목적운동장+체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00037,한뫼,근린공원,경기도 고양시 일산서구 탄중로 284,경기도 고양시 일산서구 일산동 1558,37.6935574263,126.7762593235,27167,체력단련시설,,,,,1991-05-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00030,덕이어린이4(한별),어린이공원,경기도 고양시 일산서구 덕이동 374-12,경기도 고양시 일산서구 덕이동 374-12,37.69812349,126.7531558,2748,조합놀이대+흔들놀이대,,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41281-00105,꽃우물,근린공원,경기도 고양시 덕양구 화정동 950,경기도 고양시 덕양구 화정동 950,37.6282376806,126.8278501,12881,체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00106,화정 17(별빛어린이),어린이공원,경기도 고양시 덕양구 화중로 61,경기도 고양시 덕양구 화정동 954,37.6329951,126.8296878601,5016,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00106,화정 16(배꽃),어린이공원,경기도 고양시 덕양구 백양로 126,경기도 고양시 덕양구 화정동 961,37.6366839096,126.8353032596,5146,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00033,도화,어린이공원,경기도 고양시 일산서구 일산로 604,경기도 고양시 일산서구 일산동 1043,37.6822966424,126.7622448896,4999,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00038,문촌,어린이공원,경기도 고양시 일산서구 주엽동 10,경기도 고양시 일산서구 주엽동 10,37.6749088395,126.7582385549,4901,조합놀이대+그네+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00040,백암,어린이공원,경기도 고양시 일산서구 주엽로 107,경기도 고양시 일산서구 주엽동 130,37.6695498829,126.7553261068,7875,조합놀이대+그네+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00005,새말,어린이공원,경기도 고양시 일산서구 대화동 2008,경기도 고양시 일산서구 대화동 2008,37.6843047525,126.7580531641,3987,조합놀이대+그네+시소,,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00012,양촌,어린이공원,경기도 고양시 일산서구 대화동 2211,경기도 고양시 일산서구 대화동 2211,37.6782279849,126.7491532,6555,조합놀이대+그네+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00004,호미걸이,근린공원,경기도 고양시 일산서구 대화동 1653-6,경기도 고양시 일산서구 대화동 1653-6,37.6721380628,126.7340422156,10111,체력단련시설,조합놀이대 등 3종 5개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00041,오거리,어린이공원,경기도 고양시 일산서구 주엽동 34,경기도 고양시 일산서구 주엽동 34,37.6762656711,126.7647349,4001,조합놀이대+그네+시소+흔들놀이대,화장실,,,,1995-12-26,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41285-00036,호수,근린공원,경기도 고양시 일산동구 노루목로 10,경기도 고양시 일산동구 장항동 903,37.6494729947,126.7680833384,73767,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00042,오마,어린이공원,경기도 고양시 일산서구 주엽동 34,경기도 고양시 일산서구 주엽동 34,37.6762656711,126.7647349,5700,체력단련시설,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41285-00037,호수,근린공원,경기도 고양시 일산동구 장항동 905,경기도 고양시 일산동구 장항동 905,37.6507055669,126.7696004872,107849,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00007,왕산,어린이공원,경기도 고양시 일산서구 대화동 2092,경기도 고양시 일산서구 대화동 2092,37.6819313542,126.7515212,4326,체력단련시설,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00034,윗말,어린이공원,경기도 고양시 일산서구 일산동 1095,경기도 고양시 일산서구 일산동 1095,37.6772234414,126.7736303,6400,조합놀이대+그네+시소+흔들놀이대+회전놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00043,이물재,어린이공원,경기도 고양시 일산서구 주엽동 39,경기도 고양시 일산서구 주엽동 39,37.6736035356,126.771125,5701,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,,1995-12-26,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00010,장성,어린이공원,경기도 고양시 일산서구 강성로214번길 41-10,경기도 고양시 일산서구 대화동 2166,37.6767979476,126.7538503,4798,조합놀이대+그네+흔들놀이대+철봉+평행봉,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00036,중산 10(한뫼),어린이공원,경기도 고양시 일산서구 일산동 1557-1,경기도 고양시 일산서구 일산동 1557-1,37.6943630014,126.7771038,4962,조합놀이대+흔들놀이대,,,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41287-00050,탄현 1(황룡),어린이공원,경기도 고양시 일산서구 탄현로 73,경기도 고양시 일산서구 탄현동 1475,37.6976630049,126.7673758,1500,조합놀이대+그네+시소,화장실,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41285-00038,호수,근린공원,경기도 고양시 일산동구 장항동 906,경기도 고양시 일산동구 장항동 906,37.6580245906,126.7640919251,851730,체력단련시설+게이트볼장+농구장,조합놀이대+그네+시소+흔들말,화장실,생태교육학습센터,,1995-12-26,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00107,화정중앙,근린공원,경기도 고양시 덕양구 화정동 985,경기도 고양시 덕양구 화정동 985,37.63130415,126.8319324,12215,체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00055,탄현 2(황룡산),어린이공원,경기도 고양시 일산서구 탄현동 1554,경기도 고양시 일산서구 탄현동 1554,37.6975769648,126.7714250699,1811,조합놀이대+흔들놀이대+암벽오르기,,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00051,탄현 3(현중),어린이공원,경기도 고양시 일산서구 현중로 56,경기도 고양시 일산서구 탄현동 1478,37.6955911618,126.7675315760,1500,조합놀이대+그네+흔들놀이대,화장실,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00052,탄현 4(숯고개),어린이공원,경기도 고양시 일산서구 탄현동 1486,경기도 고양시 일산서구 탄현동 1486,37.6938211650,126.7662094,1500,조합놀이대+흔들놀이대+놀이집,화장실,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00053,탄현 5(탄현),어린이공원,경기도 고양시 일산서구 탄현동 1495,경기도 고양시 일산서구 탄현동 1495,37.6939077703,126.7689251118,1501,조합놀이대+그네+흔들놀이대,화장실,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00054,탄현 6(탄중),어린이공원,경기도 고양시 일산서구 탄중로233번길 16,경기도 고양시 일산서구 탄현동 1501,37.6942320374,126.7709826848,1494,조합놀이대+그네+흔들놀이대+철봉,화장실,,,,1990-12-19,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00057,탄현일단의주택지168(탄현용현),어린이공원,경기도 고양시 일산서구 탄현동 1634-1,경기도 고양시 일산서구 탄현동 1634-1,37.7034858908,126.7645055009,2303,조합놀이대+그네+시소+흔들놀이대,,,,,2006-10-02,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00058,탄현일단의주택지169(탄현호곡),어린이공원,경기도 고양시 일산서구 탄현동 1634-2,경기도 고양시 일산서구 탄현동 1634-2,37.7021424112,126.7662060798,1657,시소+흔들놀이대,,,,,2006-10-02,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00059,탄현주상복합(숯고개향나무),어린이공원,경기도 고양시 일산서구 탄현동 173-3,경기도 고양시 일산서구 탄현동 173-3,37.69335193,126.7635462,4733,조합놀이대+흔들놀이대+놀이집,,,,,2009-01-16,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41281-00108,옥빛,근린공원,경기도 고양시 덕양구 화정동 989,경기도 고양시 덕양구 화정동 989,37.6332089533,126.8361768,22371,다목적운동장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00049,탄현주상복합(탄현통나무),어린이공원,경기도 고양시 일산서구 탄현동 142-54,경기도 고양시 일산서구 탄현동 142-54,37.69510097,126.7641302,3489,조합놀이대+그네,,,,,2012-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00006,토성,어린이공원,경기도 고양시 일산서구 성저로50번길 23,경기도 고양시 일산서구 대화동 2065,37.68417826,126.7541354378,3659,조합놀이대+그네+시소+흔들놀이대,,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00048,회화,어린이공원,경기도 고양시 일산서구 주엽동 91,경기도 고양시 일산서구 주엽동 91,37.6655778575,126.7636128840,3803,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00035,후동,근린공원,경기도 고양시 일산서구 일산동 1400,경기도 고양시 일산서구 일산동 1400,37.67981923,126.7679087,19195,체력단련시설,,,,,1995-03-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
