의료기관명,의료기관주소(도로명),의료기관전화번호
상쾌한아침한의원,"경기도 고양시 일산동구 백마로 195, 2115,2138호 (장항동, 에스케이엠시티오피스텔)",031-931-8123
삼성리뉴웰의원,"경기도 고양시 일산동구 위시티2로 13, 301호 (식사동)",031-976-2959
코넬비뇨기과의원,"경기도 고양시 일산동구 정발산로 43-20, 408~409호 (장항동, 센트럴프라자)",031-907-7085
서원구마취통증의학과의원,"경기도 고양시 일산동구 숲속마을1로 76, 504호 (풍동, 힘찬프라자)",031-907-1975
성산한의원,"경기도 고양시 일산동구 고양대로 739, 주은프라자 305호 (중산동)",031-977-0075
오공오공스타피부과의원,"경기도 고양시 일산동구 위시티2로11번길 31, 3층 (식사동, 스타타워)",031-962-5350
지키미한의원,"경기도 고양시 일산동구 중앙로 1192, 301,302호 (마두동, 월드프라자)",031-909-1000
연세삼육오매일의원,"경기도 고양시 일산동구 성석로 30, 2층 (중산동)",031-977-3657
아름다운브이라인라페치과의원,"경기도 고양시 일산동구 중앙로1275번길 38-5 (장항동, 이레21빌딩)",031-902-2200
일산연세비뇨기과의원,"경기도 고양시 일산동구 강석로 113, 2층 (마두동, 일산농협마두역지점)",031-927-9276
다정한한의원,"경기도 고양시 일산동구 중앙로 1200, 10층 1001호 (마두동, 삼희골드프라자)",031-908-7580
일산바로선의원,"경기도 고양시 일산동구 무궁화로 32-21, 9층 901~4호 (장항동, 메탈릭타워)",031-904-7582
연세복음치과의원,"경기도 고양시 일산동구 고양대로 754 (중산동, 2층전체)",031-914-2279
연세자이치과의원,"경기도 고양시 일산동구 위시티2로11번길 45, 301호 (식사동, 위시티일산자이 주상복합)",031-818-7003
송영득엔도내과의원,"경기도 고양시 일산동구 중앙로 1080, 301호 (백석동, 남정골드프라자)",031-907-6605
고양복지의료소비자생활협동조합꽃보다아름다운의원,"경기도 고양시 일산동구 고봉로 278, 2~3층 (중산동, 성창빌딩)",
다편한마취통증의학과의원,"경기도 고양시 일산동구 중앙로 1181, 803,903호 (장항동, 교보생명 일산사옥)",031-902-5275
뮤즈의원,"경기도 고양시 일산동구 중앙로1261번길 55, 402호 (장항동, 효산캐슬)",031-901-2994
위시티정형외과의원,"경기도 고양시 일산동구 위시티2로11번길 31, 304호 (식사동, 스타타워)",031-963-1400
타임치과의원,"경기도 고양시 일산동구 숲속마을로 26, 4층 401호 (풍동, 풍동프라자)",031-906-2875
리샘한의원,"경기도 고양시 일산동구 정발산로 43-20, 310호 (장항동, 센트럴프라자)",031-903-1352
생기한의원,"경기도 고양시 일산동구 중앙로 1181, 10층 (장항동, 교보빌딩)",031-905-4275
하니소아청소년과의원,"경기도 고양시 일산동구 숲속마을로 40, 3층 (풍동, 유진프라자)",031-908-7850
꿈이있는치과의원,"경기도 고양시 일산동구 정발산로 43-20, 5층 505호 (장항동, 센트럴프라자 )",031-932-8383~4
프리허그한의원,"경기도 고양시 일산동구 중앙로1261번길 77, 701호 (장항동, 한신메트로폴리스)",031-932-8269
연세윤치과의원,"경기도 고양시 일산동구 정발산로 43-20, 5층 501호 (장항동, 센트럴프라자)",031-932-2875
약수한의원,"경기도 고양시 일산동구 무궁화로 42-28, 7층 (장항동, 일산프라자)",031)904-6767
더드림의원,"경기도 고양시 일산동구 정발산로 33, 402~4호 (장항동, 낙원프라자)",031-904-7365
해맑은신경외과의원,"경기도 고양시 일산동구 중앙로 1172, 303~306호,308호,314호 (마두동, 그랜드프라자)",031-905-9119
스무살의원,"경기도 고양시 일산동구 정발산로 24, A-403호 (장항동, 웨스턴돔)",031-932-9737
포에버의원,"경기도 고양시 일산동구 정발산로 38, 401~2호 (장항동, 이스턴시티)",031-905-8352
서울자연이치과의원,"경기도 고양시 일산동구 일산로 229, 2층 (마두동, 글로리코아)",031-811-2888
더휴정신건강의학과의원,"경기도 고양시 일산동구 고양대로 757, 3층 (중산동)",031-975-5285
삼성베스트의원,"경기도 고양시 일산동구 무궁화로 237, 4층 (중산동, 이마트풍산점)",031-977-9077
고운결한의원,"경기도 고양시 일산동구 중앙로 1190, 602호 (마두동, 서울타워)",031-903-7533
미플란트치과의원,"경기도 고양시 일산동구 무궁화로 237, 4층 (중산동, 이마트풍산점)",031-977-2879
새봄외과의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 307-1, 308호 (장항동)",031-901-7777
동안한의원,"경기도 고양시 일산동구 일산로 142, 225호 (백석동, 유니테크빌 )",031-903-1091
미앤미의원,"경기도 고양시 일산동구 정발산로 43-20, 8층 (장항동, 센트럴프라자)",031-932-8892
케이톡스의원,"경기도 고양시 일산동구 정발산로 23, 502호 (장항동, 호수빌딩)",031-906-5555
삼성드림이비인후과의원,"경기도 고양시 일산동구 정발산로 33 (장항동, 낙원프라자 4층)",031-904-1365
이튼치과의원,"경기도 고양시 일산동구 고봉로 20-5 (장항동, 포오스프라자 2차 303, 304호)",031-924-7528
박종식한의원,"경기도 고양시 일산동구 일산로 456 (정발산동, 낙민상가 301호)",031-912-1075
숲속소아청소년과의원,"경기도 고양시 일산동구 숲속마을1로 73 (풍동, 신성메디칼타운 5층)",031-905-0905
치아나라치과의원,"경기도 고양시 일산동구 숲속마을로 42 (풍동, 에이스타워 3층)",031-905-2845
우리들의원,경기도 고양시 일산동구 강송로 179 (마두동),031-906-7833
센트럴성형외과의원,경기도 고양시 일산동구 정발산로 43-20 (장항동),
진내과의원,경기도 고양시 일산동구 위시티로 81 (식사동),031965-5995
위시티웰치과의원,경기도 고양시 일산동구 위시티로 67 (식사동),031-965-2275
치유나무정신건강의학과의원,"경기도 고양시 일산동구 정발산로 43-20, 307호 (장항동, 센트럴프라자)",031-903-0123
숨길을열다한의원,"경기도 고양시 일산동구 무궁화로 20-38, 3층 322호 (장항동, 로데오탑)",
옐로우의원,"경기도 고양시 일산동구 정발산로 43-20, 506.507호 (장항동, 센트럴프라자)",031-907-6111
즐거운치과의원,"경기도 고양시 일산동구 중앙로1275번길 38-15, 삼희포시즌프라자 5층 501호 (장항동)",031-906-2885
발머스한의원,경기도 고양시 일산동구 중앙로1261번길 55 (장항동),031-904-7020
보아스이비인후과의원,경기도 고양시 일산동구 일산로 211 (마두동),031-901-1227
수한의원,경기도 고양시 일산동구 일산로 214 (마두동),
밝은김안과의원,"경기도 고양시 일산동구 숲속마을1로 73, 502호 (풍동, 신성메디칼 타운)",031-907-1002
하하치과의원,경기도 고양시 일산동구 중앙로 1072 (백석동),031-921-4449
연세예스치과의원,경기도 고양시 일산동구 호수로 358-25 (백석동),031-908-5275
루비한의원,"경기도 고양시 일산동구 정발산로 47, 207호 (장항동, 웅신아트)",
아비쥬의원,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 301~304, 312~313호 (장항동)",1544-0377
위존한의원,"경기도 고양시 일산동구 중앙로 1322, 일산현대아이스페이스 2층 217~218호 (정발산동)",031-816-7575
일산앞선치과의원,경기도 고양시 일산동구 일산로 46 (백석동),031-902-8275
원광한의원,경기도 고양시 일산동구 일산로380번길 11 (정발산동),
맨남성의원,"경기도 고양시 일산동구 중앙로 1192, 901호 (마두동)",031-904-1999
미소가인피부과의원,"경기도 고양시 일산동구 중앙로 1190, 301~304호 (마두동, 서울타워)",
열린성모이비인후과의원,"경기도 고양시 일산동구 위시티4로 46 (식사동, 위시티일산자이2단지아파트 상가 301호)",031-963-0045
이든한의원,"경기도 고양시 일산동구 백마로 195, 2층 (장항동, 에스케이엠시티오피스)",02-2264-8822
위시티소아청소년과의원,"경기도 고양시 일산동구 위시티4로 80 (식사동, 위시티일산자이1단지아파트, 202호일부,203호)",031-967-9958
예스뉴욕치과의원,"경기도 고양시 일산동구 위시티4로 46 (식사동, 위시티일산자이2단지아파트)",031-962-1591
연세청담항외과의원,"경기도 고양시 일산동구 중앙로 1193, 3층 (장항동, 마두법조빌딩)",031-903-3232
연세봄내과의원,"경기도 고양시 일산동구 위시티4로 46, 3층 303A,304,306호 (식사동, 위시티일산자이2단지아파트)",031-969-5678
신기율한의원,"경기도 고양시 일산동구 숲속마을로 38, 아크리아 302호 (풍동)",031-907-1001
향지한의원,"경기도 고양시 일산동구 위시티로 81 (식사동, 풍산트윈시티 2 201호)",070-4176-3969
백제현경희한의원,"경기도 고양시 일산동구 위시티4로 46 (식사동, 위시티일산자이2단지아파트 상가 308호)",
서울더블유치과의원,"경기도 고양시 일산동구 위시티로 81 (식사동, 풍산트윈시티 2 207호)",031-962-2060
서울강플란트치과의원,"경기도 고양시 일산동구 정발산로 47 (장항동, 웅신아트프라자 201호)",031-932-7528
경희대성한의원,"경기도 고양시 일산동구 무궁화로 106 (정발산동, 새마을회관 1층)",
바른몸한의원,"경기도 고양시 일산동구 중앙로 1194 (마두동, 금강프라자 206~208호)",031-907-1075
아름내과의원,"경기도 고양시 일산동구 숲속마을로 48 (풍동,신성프라자 303호)",031-903-1175
웰빙치과의원,"경기도 고양시 일산동구 일산로 207 (마두동,현대쇼핑상가202호)",031-908-2877
경희솔한의원,"경기도 고양시 일산동구 일산로 243, 도헌프라자 3층 (마두동)",031-903-7510
위시티연세치과의원,"경기도 고양시 일산동구 위시티2로11번길 31 (식사동, 스타타워 301호, 302-1호)",
라마르의원,"경기도 고양시 일산동구 정발산로 47 (장항동,웅신아트 501호)",031-902-8575
일산스타28치과의원,"경기도 고양시 일산동구 무궁화로 32-12 (장항동,라페스타E동 501호)",031-932-2814
진외과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 그랜드프라자 411호 일부)",031-901-3984
지엘한의원,"경기도 고양시 일산동구 장백로 86, 203호 (백석동, 한경빌딩)",031-903-0690
장항중앙의원,"경기도 고양시 일산동구 장항로 293, 1층 (장항동)",031-905-8286
연세닥터스치과의원,"경기도 고양시 일산동구 대산로 28 (정발산동,정석코아 201호)",031-924-0506
연세튼튼소아청소년과의원,"경기도 고양시 일산동구 중앙로 1130 (마두동,강촌마을상가동A 2층 9호, 10호일부)",031-906-8575
연세드림재활의학과의원,"경기도 고양시 일산동구 숲속마을로 22 (풍동,진넥스블루오션 301)",031-932-9090
리더스미의원,"경기도 고양시 일산동구 무궁화로 32-12 (장항동,외3필지 라페스타E동 501호)",031-907-5400
일산서울한의원,"경기도 고양시 일산동구 일산로 46 (백석동,남정씨티프라자 408호)",031-902-5583
산타클로스의원,"경기도 고양시 일산동구 중앙로1261번길 55 (장항동,효산캐슬 303호,304호)",031-905-7591
일산하이치과의원,"경기도 고양시 일산동구 일산로 243 (마두동,주영빌딩 2층 201호)",
더바른치과의원,"경기도 고양시 일산동구 일산로 197 (마두동, 3002호)",031-904-2752
나봄가정의학과의원,"경기도 고양시 일산동구 정발산로 15 (장항동, 드림월드빌딩 202호, 203호)",031-901-9909
일산수외과의원,"경기도 고양시 일산동구 중앙로 1080 (백석동,남정골드프라자 201호)",031-901-5397
하은이비인후과의원,"경기도 고양시 일산동구 장백로 56 (백석동,크리스탈빌딩 204호)",031-901-0035
연세키즈소아청소년과의원,"경기도 고양시 일산동구 일산로 198 (마두동,외 1필지 주화빌딩 201호)",
일산왕플란트치과의원,"경기도 고양시 일산동구 중앙로 1193, 10층 (장항동)",031-904-0428
랩케어진단검사의학과의원,"경기도 고양시 일산동구 일산로 138, 일산테크노타운 부대동 302-1, 302-2, 304일부호 (백석동)",070-8277-6940
두리이비인후과의원,"경기도 고양시 일산동구 고양대로 739 (중산동,외1필지 201, 202호, 203호일부)",031-975-8822
마두경희한의원,"경기도 고양시 일산동구 강석로 115 (마두동,장항빌딩203호.204호)",031-901-3222
서울수치과의원,경기도 고양시 일산동구 하늘마을1로 2 (중산동),031-976-7520
동원당한의원,"경기도 고양시 일산동구 하늘마을1로 2, 406호 (중산동,풍산프라자)",031-976-8272
일산효성내과의원,"경기도 고양시 일산동구 하늘마을1로 2, 풍산프라자 2층 207호 (중산동)",031-976-7525
닥터포유일산의원,"경기도 고양시 일산동구 중앙로 1047 (백석동, 영림브레아오피스텔 303호)",031-904-2220
아름다운의원,"경기도 고양시 일산동구 중앙로1275번길 60-30 (장항동,일산라페스타 B 302,303호)",031-901-3375
하늘소아청소년과의원,"경기도 고양시 일산동구 중산로 105 (중산동, 현해프라자 303호)",031-977-1822
예스의원,"경기도 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자 302호)",031-906-2901
베네치아치과의원,"경기도 고양시 일산동구 중앙로 1202 (마두동, 우리은행 5층)",031-906-7533
일산이비인후과의원,"경기도 고양시 일산동구 무궁화로 39 (장항동, 삼라마이다스 3차 206,209,210호)",031-917-1155
이내과의원,"경기도 고양시 일산동구 숲속마을1로 73, 신성메디칼 타운 202호 (풍동)",031-906-7553
정다운치과의원,"경기도 고양시 일산동구 일산로 211 (마두동, 3층)",031-907-2804
일산린치과의원,"경기도 고양시 일산동구 중앙로 1197 (장항동, 형지 제3빌딩 7층)",031-1644-7728
어담한의원,"경기도 고양시 일산동구 중산로 105 (중산동, 현해프라자 306호)",031-977-0019
본재활의학과의원,"경기도 고양시 일산동구 중앙로 1182 (마두동, 올림픽스포츠센터 지하1층)",031-908-5975
서울가정의학과의원,"경기도 고양시 일산동구 정발산로 38 (장항동, 이스턴시티 306,306-1호)",031-902-1277
서울그린치과의원,"경기도 고양시 일산동구 일산로 208 (마두동, 한일파킹타운 202~204호)",031-905-2835
서울고려한의원,"경기도 고양시 일산동구 일산로 447 (정발산동, 신풍빌딩 201호)",031-915-7661
365엠씨의원,"경기도 고양시 일산동구 정발산로 43-20 (장항동, 센트럴프라자 808~809호)",031-902-3653
연세항정외과의원,"경기도 고양시 일산동구 고봉로 266, 4층 (중산동)",031-976-7175
이지신경외과의원,"경기도 고양시 일산동구 일산로 46 (백석동, 남정시티프라자 3차 308~309호)",031-903-1177
뉴욕치과의원,"경기도 고양시 일산동구 일산로 46 (백석동, 남정시티프라자 3차 303호)",031-901-7528
기풍한의원,"경기도 고양시 일산동구 중앙로 1047, 308호 (백석동, 영림브레아오피스텔)",031-908-6626
웨스턴호치과의원,"경기도 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔 2 B-305,306호)",031-931-5003
푸른맥외과의원,"경기도 고양시 일산동구 정발산로 43-20, 514,516호 (장항동, 센트럴프라자)",031-908-3575
좋은하루치과의원,"경기도 고양시 일산동구 백석로 24 (백석동, 흰돌마을 상가동 304)",031-901-3182
하얀마음한의원,경기도 고양시 일산동구 중산로 250 (중산동),
일산웰치과의원,"경기도 고양시 일산동구 정발산로 38 (장항동, 이스턴시티 303,303-1호)",031-901-2842
서울정도치과의원,"경기도 고양시 일산동구 숲속마을로 48 (풍동,신성프라자502호)",031-908-7711
일산하얀치과의원,"경기도 고양시 일산동구 중앙로 1124, 2층 201호 (백석동, 흰돌마을1단지아파트)",031-905-2875
수여성의원,"경기도 고양시 일산동구 일산로 46 (백석동, 남정시티프라자 3차 305호)",031-905-1010
풍동현대정형외과의원,"경기도 고양시 일산동구 숲속마을1로 71 (풍동, 샘터 17 303~304호)",031-905-9053
연세사랑의치과의원,"경기도 고양시 일산동구 숲속마을로 18 (풍동, 웰빙타운 402호 )",031-906-2279
가로세로한의원,"경기도 고양시 일산동구 정발산로 38 (장항동, 이스턴시티 403호)",031-909-1075
연세엘치과의원,"경기도 고양시 일산동구 숲속마을로 38 (풍동, 아크리아 401호)",031-904-2871
제일정신과의원,경기도 고양시 일산동구 중앙로 1172 (마두동),031-904-8111
풍동가족한의원,"경기도 고양시 일산동구 숲속마을로 42, 202호 (풍동, 에이스타워)",031-905-7523
연세최의겸정신과의원,"경기도 고양시 일산동구 중앙로1275번길 38-10, 220호 (장항동, 우림로데오스위트)",031-904-5575
도담치과의원,"경기도 고양시 일산동구 중앙로 1181 (장항동, 교보생명일산사옥 8층)",031-908-2893
서울마로니에치과의원,"경기도 고양시 일산동구 숲속마을1로 71 (풍동, 샘터 17 402호)",031-907-2987
해맑은한의원,"경기도 고양시 일산동구 탄중로 322 (중산동, 고봉프라자 303~304호)",031-975-7582
동의약손한의원,"경기도 고양시 일산동구 숲속마을로 26, 305호 (풍동, 풍동프라자)",031-902-3500
삶공성욱정신과의원,"경기도 고양시 일산동구 일산로 46 (백석동, 남정시티프라자 401,402-1,412,413,414호)",031-904-5701
지오한의원,"경기도 고양시 일산동구 위시티2로 23, 201호 (식사동, 지오빌딩)",031-902-9222
문혜경산부인과의원,"경기도 고양시 일산동구 숲속마을1로 73, 402호 (풍동, 신성메디칼타운)",031-932-2299
녹원명문한의원,경기도 고양시 일산동구 일산로 461 (정발산동),031-916-7982
이윤영이비인후과의원,"경기도 고양시 일산동구 숲속마을1로 77 (풍동, 그린메디피아 301호)",031-902-7005
경희참한의원,"경기도 고양시 일산동구 숲속마을로 44 (풍동, 풍동미래타워 302호)",031-905-7595
연세물방울치과의원,"경기도 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자 301호)",031-907-0790
김중기치과의원,경기도 고양시 일산동구 일산로 452 (정발산동),031-911-2875
풍동연세이비인후과의원,"경기도 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자 303호)",031-907-7770
서울에스치과의원,"경기도 고양시 일산동구 숲속마을1로 73 (풍동, 신성메디칼타운 301,302호)",031-907-2879
백석치과의원,"경기도 고양시 일산동구 중앙로 1073, 1층 (백석동)",031-901-2801
조은가정의학과의원,"경기도 고양시 일산동구 숲속마을로 50-54 (풍동, 세훈프라자 402호)",031-905-7333
더조은내과의원,"경기도 고양시 일산동구 숲속마을로 26 (풍동, 풍동프라자 3층)",031-905-8575
맑은마음정신과의원,"경기도 고양시 일산동구 중앙로 1072, 401호 (백석동, 아이비프라자)",031-904-2081
일산현대의원,"경기도 고양시 일산동구 강촌로 157 (마두동,서울코아 2층)",031-908-5678
박유정내과의원,"경기도 고양시 일산동구 중앙로 1182 (마두동, 일산올림픽스포츠센터 지하 1층)",031-902-3403
라이프치과의원,"경기도 고양시 일산동구 중앙로 1167 (장항동,서륭빌딩5층)",031-906-4967
모아치과의원,"경기도 고양시 일산동구 고봉로 266, 3층 (중산동)",031-977-2900
트루덴치과의원,"경기도 고양시 일산동구 중앙로1275번길 38-10 (장항동, 우림로데오스위트 215,216호)",031-906-0700
이일신경외과의원,"경기도 고양시 일산동구 정발산로 43-20, 5층 510~513,515호 (장항동, 센트럴프라자)",031-906-8275
연세송내과의원,"경기도 고양시 일산동구 중앙로 1080 (백석동, 남정골드프라자 501~503호)",031-907-7511
서울리더스치과의원,"경기도 고양시 일산동구 일산로 38 (백석동, 우림오피스텔 302호)",031-906-7522
백이비인후과의원,"경기도 고양시 일산동구 일산로 451, 1층 2호 (정발산동)",031-925-5075
사랑의내과의원,"경기도 고양시 일산동구 중앙로 1189, 203~4호 (장항동, GM굿모닝 법조타운)",031-904-5033
신록내과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 일산그랜드프라자 310~311호)",031-904-7575
연세키즈앤쥬니어치과의원,"경기도 고양시 일산동구 일산로 198, 주화빌딩 2층 201~202호 (마두동)",031-901-8228
유디치과의원,경기도 고양시 일산동구 중앙로1261번길 19 (장항동),031-932-1110
길맨비뇨기과의원,"경기도 고양시 일산동구 중앙로 1047 (백석동,영림브레아오피스텔 204호, 205호)",031-905-7544
연세미치과의원,"경기도 고양시 일산동구 일산로 46 (백석동, 남정시티프라자 3차 407호)",031-905-7285
선치과의원,"경기도 고양시 일산동구 중산로 67, 3층 301호 (중산동)",031-962-2873
백석의원,"경기도 고양시 일산동구 중앙로 1071, 5층 (백석동)",031-901-4000
약손한의원,"경기도 고양시 일산동구 강송로 169 (마두동, 한주프라자 201호)",031-901-7510
고은이치과의원,"경기도 고양시 일산동구 일산로 238 (마두동, 대일상가 301호)",031-932-5575
연세미소앤치과의원,"경기도 고양시 일산동구 강석로 123 (마두동,뉴삼창빌딩 A동 2층일부)",031-902-9226
숨수면의원,"경기도 고양시 일산동구 일산로 46 (백석동,남정시티프라자 409호, 410호)",031-932-7800
연세이우용정형외과의원,"경기도 고양시 일산동구 중앙로 1080 (백석동,남정골드프라자 204-1,204-2,205,206호)",031-915-6000
일산연합의원,"경기도 고양시 일산동구 공릉천로 32, 2층 (사리현동)",031-962-1318
이소아과의원,"경기도 고양시 일산동구 탄중로 316, 301호 (중산동, 솔샘프라자 )",031-975-3177
열린치과의원,"경기도 고양시 일산동구 일산로 328, 301호 (마두동, 수색상가)",031-907-0500
오킴스피부과의원,경기도 고양시 일산동구 강석로 123 (마두동),031-902-9333
일산좋은치과의원,"경기도 고양시 일산동구 일산로 441 (정발산동, 일성조합상가 301~302호)",031-913-2876
유앤미여성외과의원,"경기도 고양시 일산동구 정발산로 43-20 (장항동, 센트럴프라자 508~509호)",031-901-6075
삼성의원,"경기도 고양시 일산동구 중앙로 1182 (마두동, 일산올림필스포츠센터 지하 1층)",031-903-5040
일산고운세상피부과의원,"경기도 고양시 일산동구 정발산로 47, 401호 (장항동, 웅신아트)",031-932-8275
유용우한의원,"경기도 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔 2 B-307,308호)",031-813-1311
일산라쥬네스내과의원,"경기도 고양시 일산동구 무궁화로 18 (장항동, 남정시티프라자 1차 302호)",031-908-8278
연세이룸정신건강의학과의원,"경기도 고양시 일산동구 정발산로 47 (장항동, 웅신아트 304호)",031-902-7820
에이스이비인후과의원,"경기도 고양시 일산동구 장백로 172 (장항동, 금강프라자 202호)",031-932-5300
비앤비서울치과의원,"경기도 고양시 일산동구 무궁화로 31-2 (장항동, 풍성프라자 301호)",031-919-0907
우성산부인과의원,"경기도 고양시 일산동구 고양대로 762, 2층 204~205호 (중산동)",031-976-7769
김내과의원,"경기도 고양시 일산동구 일산로 214 (마두동, 화성프라자 2층)",031-904-3159
이성근치과의원,"경기도 고양시 일산동구 장백로 206, 이지로빌딩 8층 (장항동)",031-932-1188
고재성의원,"경기도 고양시 일산동구 백석로 109 (백석동, 백송마을3단지아파트상가동 207호)",031-901-2864
이화연소아청소년과의원,"경기도 고양시 일산동구 숲속마을1로 29-30 (풍동, 라고크리닉 202호)",031-901-7288
행복한미래치과의원,"경기도 고양시 일산동구 일산로 153, 백송마을2단지 2층 203호 (백석동)",031-908-8275
백석경희한의원,"경기도 고양시 일산동구 장백로 56 (백석동, 크리스탈 305호)",031-906-1393
밤가시연세소아청소년과의원,"경기도 고양시 일산동구 일산로 452, 일산프라자 5층 502~503호 (정발산동)",031-922-1517
두리소아과의원,"경기도 고양시 일산동구 강촌로 157 (마두동, 서울코아 305호)",031-932-8222
황준구통증의학과의원,"경기도 고양시 일산동구 중앙로 1191 (장항동, 굿모닝법조타운 1차 301~303호)",031-902-6546
이편한치과의원,"경기도 고양시 일산동구 강석로 115 (마두동, 장항빌딩 402호)",031-906-7582
고양성모안과의원,"경기도 고양시 일산동구 일산로 211, 2층 (마두동)",031-905-1811
일산이편한치과의원,"경기도 고양시 일산동구 고봉로278번길 17 (중산동, 산들마을2단지아파트 상가동 201호)",031-923-2804
연세의원,"경기도 고양시 일산동구 숲속마을1로 29-37, 402호 (풍동, 서광미르프라자)",031-963-2339
요요치과의원,"경기도 고양시 일산동구 대산로31번길 3, 4층 (정발산동)",031-924-2875
함소아(含笑兒)한의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 308-1호 (장항동)",031-925-1100
동경치과의원,"경기도 고양시 일산동구 중앙로 1322 (정발산동, 아이스페이스 214호)",031-901-2875
이성형외과의원,"경기도 고양시 일산동구 중앙로 1322 (정발산동, 아이스페이스 215호)",031-906-0033
이원행 화접몽한의원,"경기도 고양시 일산동구 중앙로 1195, 로스텔 301,303호 (장항동)",031-902-0221
서울위너스치과의원,"경기도 고양시 일산동구 장백로 194 (장항동, 위너스21빌딩 403호)",031-905-9058
전진훈소아과의원,"경기도 고양시 일산동구 중앙로 1124 (백석동, 흰돌마을1단지아파트상가동 2층)",031-902-7505
참좋은치과의원,"경기도 고양시 일산동구 중산로 241, 해태쇼핑타운 201-1호 (중산동)",031-975-2275
빛과소금내과의원,"경기도 고양시 일산동구 일산로 240 (마두동, 백마프라자 2층)",031-905-8175
늘사랑가정의학과의원,"경기도 고양시 일산동구 일산로 442, 2층 (정발산동)",031-919-7054
다주한의원,"경기도 고양시 일산동구 일산로 228 (마두동, 강서빌딩 303~304호)",031-908-7885
파이안의원,"경기도 고양시 일산동구 정발산로 43-7, 4층 (장항동, 메리트윈 )",031-904-8848
남서한의원,"경기도 고양시 일산동구 일산로 238 (마두동, 대일상가 302~303호)",031-904-8575
자연사랑한의원,"경기도 고양시 일산동구 장백로 172, 203호 (장항동, 금강프라자)",031-912-3034
세은치과의원,"경기도 고양시 일산동구 강석로 149 (마두동, 강촌프라자 401~402호)",031-905-0025
나병만내과의원,"경기도 고양시 일산동구 강송로 179, 301호 (마두동, 신일산빌딩 )",031-908-7570
원피부과의원,"경기도 고양시 일산동구 강송로 179, 401호 (마두동, 신일산빌딩 )",031-904-0319
김영숙피부과의원,"경기도 고양시 일산동구 중앙로 1124, 상가동 2층 207~209호 (백석동, 흰돌마을1단지아파트)",031-901-3133
해피스마일치과의원,"경기도 고양시 일산동구 중앙로 1189 (장항동, 굿모닝법조타운B/D2.901,902호)",031-908-2808
채한승치과의원,"경기도 고양시 일산동구 강송로 170 (마두동, 현대프라자빌딩205,206호)",031-908-7575
풍동한미르치과의원,"경기도 고양시 일산동구 숲속마을1로 29-30 (풍동,라고크리닉빌딩 201호.)",031-919-7528
사회복지법인연꽃마을일산경로한의원,"경기도 고양시 일산동구 호수로 731, 2층 (장항동)",031-922-8677
사회복지법인연꽃마을일산호수의원,"경기도 고양시 일산동구 호수로 731, 1층 (장항동)",031-921-4646
하나치과의원,"경기도 고양시 일산동구 노루목로 100 (장항동, 호수마을2단지아파트상가동 1202호)",031-903-2875
중산정형외과의원,"경기도 고양시 일산동구 중산로 234 (중산동, 승산빌딩1층)",031-975-8233
맑은숲해독한의원,"경기도 고양시 일산동구 중앙로 1080 (백석동, 남정골드프라자 201-1호)",031-901-8270
백석서울치과의원,"경기도 고양시 일산동구 중앙로 1036, 베스트 고양터미널 601~603호 (백석동)",031-901-5535
연세바른이치과의원,"경기도 고양시 일산동구 중앙로 1188 (마두동,3층)",031-906-2834
참나무한의원,"경기도 고양시 일산동구 강석로 149, 302,303호 (마두동, 강촌프라자)",031-908-1075
광명한의원,"경기도 고양시 일산동구 강촌로26번길 73-24, 1층 (백석동)",031-902-7007
본치과의원,"경기도 고양시 일산동구 중앙로 1182 (마두동, 일산올림픽스포츠센타2층)",031-908-2833
정발산경희한의원,"경기도 고양시 일산동구 일산로 453 (정발산동, 신대성상가201호)",031-915-1475
오킴스케이성형외과의원,"경기도 고양시 일산동구 중앙로1261번길 55, 5 층 (장항동)",031-906-3222
김영호마취통증의학과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 그랜드프라자312호)",031-906-2094
이영도가정의학과의원,"경기도 고양시 일산동구 대산로 28, 501호 (정발산동)",031-917-8281
정발산사과나무치과의원,"경기도 고양시 일산동구 정발산로 47 (장항동, 웅신아트309,310호)",031-932-2876
최의원,경기도 고양시 일산동구 일산로 211 (마두동),031-904-6167
한빛영상의학과의원,"경기도 고양시 일산동구 중앙로 1068, 5층일부,6층 (백석동, 리더스프라자)",031-907-7582
호수한의원,"경기도 고양시 일산동구 장백로 184 (장항동, 우신프라자 310~311호, 312호 일부)",031-906-2203
최치과의원,"경기도 고양시 일산동구 중앙로 1172 (마두동, 그랜드프라자빌딩402,403호)",031-905-2275
정은형치과의원,"경기도 고양시 일산동구 일산로 408, 4층 (정발산동)",031-917-2876
이사랑치과의원,"경기도 고양시 일산동구 장백로 172 (장항동, 금강프라자 303호)",031-907-2875
김태형정형외과의원,"경기도 고양시 일산동구 일산로 442 (정발산동, 지1층,1,3,4층)",031-921-7007
